1 0
2 0
3 0
4 117
5 0
6 0
7 0
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 195
19 39
29 0
21 39
22 0
23 0
27 0


1 0
2 0
3 0
4 117
5 0
6 0
7 0
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 195
19 39
29 0
21 39
22 0
23 0
27 0


1 6
2 0
3 0
4 117
5 0
6 7
7 0
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 201
19 44
29 0
21 46
22 0
23 0
27 0


1 7
2 0
3 0
4 117
5 0
6 14
7 5
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 208
19 49
29 0
21 53
22 0
23 0
27 0


1 7
2 0
3 0
4 123
5 7
6 22
7 5
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 216
19 55
29 7
21 60
22 0
23 0
27 0


1 7
2 0
3 6
4 123
5 7
6 22
7 5
8 0
9 0
26 0
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 222
19 60
29 7
21 67
22 0
23 0
27 0


1 7
2 0
3 7
4 123
5 7
6 22
7 5
8 0
9 0
26 4
11 0
12 0
13 390
14 0
25 0
16 0
17 0
18 230
19 66
29 7
21 74
22 0
23 0
27 7


1 7
2 0
3 7
4 124
5 7
6 23
7 5
8 0
9 0
26 9
11 7
12 0
13 390
14 0
25 0
16 0
17 0
18 237
19 72
29 14
21 80
22 5
23 0
27 8


1 7
2 0
3 7
4 124
5 7
6 23
7 5
8 0
9 0
26 10
11 7
12 0
13 390
14 0
25 0
16 5
17 0
18 244
19 72
29 21
21 87
22 11
23 0
27 8


1 7
2 0
3 7
4 124
5 7
6 23
7 5
8 0
9 0
26 15
11 7
12 0
13 390
14 0
25 0
16 5
17 0
18 252
19 72
29 29
21 95
22 12
23 7
27 8


1 7
2 0
3 7
4 124
5 14
6 23
7 5
8 0
9 0
26 21
11 7
12 0
13 390
14 0
25 0
16 11
17 5
18 259
19 78
29 37
21 102
22 12
23 13
27 8
30 0
31 0
32 0
33 390
34 351


1 7
2 0
3 7
4 124
5 15
6 23
7 5
